attack_type,Doc2Vec-c+GBDT,GAS-lite,Word2Vec-c+GBDT,Word2Vec-c+LR,Word2Vec-w+LR
A,0.8679245283018868,0.8970588235294118,0.9881956155143339,0.8929889298892989,0.9619377162629758
ALL,0.852464980898672,0.8865831842576029,0.975650433622415,0.9002890173410405,0.9641760491299898
B,0.9726027397260274,0.9492119089316988,0.9932885906040269,0.9830508474576272,1.0
C,0.8847583643122676,0.8990825688073395,0.9847715736040609,0.920863309352518,0.9830508474576272
D,0.8785046728971962,0.9010989010989011,0.9864864864864865,0.8970588235294118,0.9949748743718593
E,0.874296435272045,0.9010989010989011,0.9864864864864865,0.8970588235294118,0.951048951048951
F,0.7927565392354124,0.8970588235294118,0.98989898989899,0.8990825688073395,0.9601386481802426
G,0.8721804511278195,0.9010989010989011,0.9864864864864865,0.8970588235294118,0.9528795811518325
H,0.8614800759013282,0.8970588235294118,0.9847715736040609,0.8868274582560297,0.9565217391304348
I,0.8764044943820225,0.9010989010989011,0.9864864864864865,0.8970588235294118,0.9881956155143339
Original,0.6783114992721979,0.7477203647416414,0.8808446455505279,0.8299319727891157,0.8929159802306426
