attack_type,Doc2Vec-c+GBDT,GAS-lite,Word2Vec-c+GBDT,Word2Vec-c+LR,Word2Vec-w+LR
A,0.7805858701895463,0.8060422960725075,0.899273760656773,0.8560606060606061,0.897063369397218
ALL,0.8983873980449536,0.9230108582295564,0.9517412483737254,0.9243281689705292,0.9258606291175652
B,0.7910278250993753,0.844106463878327,0.865234375,0.8582230623818525,0.8825555903538992
C,0.7448194197750148,0.8132132132132132,0.9034287511796162,0.8678537956888472,0.8392973324658426
D,0.7418203450327187,0.8103552077062011,0.9030837004405287,0.854614412136536,0.8490322580645161
E,0.7437185929648241,0.8107132109539573,0.9034287511796162,0.854614412136536,0.8919254658385093
F,0.788555078683834,0.8210023866348448,0.914018691588785,0.8650172251800814,0.8953560371517028
G,0.7658823529411765,0.8114285714285714,0.9044626021370208,0.8567823343848581,0.8929568724790568
H,0.7628687102371313,0.8252080856123662,0.9054945054945055,0.8567823343848581,0.8874337386966011
I,0.7746806039488966,0.8103552077062011,0.9030837004405287,0.854614412136536,0.8586052463211772
J,0.7858172383972326,0.8103552077062011,0.9030837004405287,0.854614412136536,0.8415584415584415
K,0.7871485943775101,0.8266033254156769,0.9177274138466315,0.8734846129934721,0.8933002481389578
L,0.7966923296264614,0.8266033254156769,0.9194048357098574,0.8727838258164852,0.847172859450727
M,0.7452022438736345,0.8352490421455939,0.9082367679298465,0.8476947535771066,0.7086500180962721
Original,0.7504435245416913,0.8103552077062011,0.9030837004405287,0.854614412136536,0.8919254658385093
