attack_type,Doc2Vec-c+GBDT,GAS-lite,Word2Vec-c+GBDT,Word2Vec-c+LR,Word2Vec-w+LR
A,0.7749419953596288,0.8462059620596206,0.9011227816008692,0.8909348441926346,0.9066762383345298
ALL,0.8930390492359932,0.9403246874416868,0.9555239946180296,0.938519163103931,0.9179693545890729
B,0.8094575799721836,0.844106463878327,0.8967254408060453,0.8446291560102301,0.879057924888606
C,0.6913723219455703,0.789443488238669,0.8967551622418879,0.8502994011976048,0.7924773022049286
D,0.7418310273770974,0.8103552077062011,0.8949858088930936,0.8584965255843335,0.846002621231979
E,0.780559646539028,0.8338192419825073,0.9073482428115016,0.89171974522293,0.9047619047619048
F,0.7754698318496538,0.8637428858386341,0.9223093371347113,0.9045614035087719,0.9094827586206896
G,0.7657192075796727,0.8567696996081846,0.9079869219990658,0.898577329050023,0.9095992544268406
H,0.7543859649122807,0.869477234401349,0.9063643013899049,0.8950948800572861,0.9064433927921369
I,0.7666762095619811,0.8107293550331525,0.895550646891764,0.8586784698071451,0.8603822481373502
J,0.768703597944032,0.8105992171032822,0.8952681388012619,0.8587677725118483,0.8317291735811484
K,0.7713625866050808,0.870026525198939,0.931389975115535,0.9106203995793901,0.9072536990256225
L,0.7746199603436881,0.8666224286662243,0.9285460362602204,0.91239092495637,0.8650467289719627
M,0.7338518769022658,0.8780487804878049,0.9267256637168142,0.8841354723707665,0.672481465329263
Original,0.7437869822485207,0.8103552077062011,0.8949858088930936,0.8584965255843335,0.9014348097317529
