attack_type,Doc2Vec-c+GBDT,GAS-lite,Word2Vec-c+GBDT,Word2Vec-c+LR,Word2Vec-w+LR
A,0.7817385866166354,0.8807785888077859,0.9035025017869907,0.8982506247768655,0.9130127298444131
ALL,0.9106632576327267,0.944750346480878,0.9620037105751391,0.9417589478060395,0.9699712960918525
B,0.816916206987129,0.883901855176541,0.929047907822923,0.9292807703882034,0.9322900993078543
C,0.7226709746903608,0.8048048048048048,0.8883638511518015,0.823965410747375,0.9030023094688222
D,0.7387437465258477,0.838006230529595,0.8945226917057904,0.8541062801932368,0.9136558481322719
E,0.7608391608391608,0.863568215892054,0.8931419457735247,0.8745980707395499,0.9070866141732283
F,0.7760433258999682,0.8900414937759336,0.9163713678242381,0.9053380782918149,0.9103840682788051
G,0.7675941080196399,0.8876909254267745,0.9116149930587691,0.9003245248029671,0.9073305670816044
H,0.7588881706528765,0.8936911815963751,0.9075144508670521,0.9060136838314728,0.9018471568272365
I,0.7726281352235551,0.8385286783042394,0.8950829940494832,0.853918090938407,0.9088669950738916
J,0.7722611980572045,0.8382673730133998,0.8948027551659361,0.8540122462133419,0.9085872576177285
K,0.757051282051282,0.8957688338493293,0.926673751328374,0.9150141643059491,0.9122681883024251
L,0.7563819728963126,0.8960548885077187,0.9307069996482589,0.9148710702931826,0.9179051663128096
M,0.6655324940455938,0.9002050580997949,0.9230769230769231,0.8918433345310816,0.9344432882414152
Original,0.7451523545706371,0.838006230529595,0.8945226917057904,0.8541062801932368,0.8977943460702081
