model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
GAS-lite,ALL,3300,0.8078787878787879,0.9567567567567568,0.826,0.8865831842576029,0.001079800000297837
GAS-lite,Original,600,0.7233333333333334,0.6871508379888268,0.82,0.7477203647416414,0.001079800000297837
GAS-lite,A,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.001079800000297837
GAS-lite,B,300,0.9033333333333333,1.0,0.9033333333333333,0.9492119089316988,0.001079800000297837
GAS-lite,C,300,0.8166666666666667,1.0,0.8166666666666667,0.8990825688073395,0.001079800000297837
GAS-lite,D,300,0.82,1.0,0.82,0.9010989010989011,0.001079800000297837
GAS-lite,E,300,0.82,1.0,0.82,0.9010989010989011,0.001079800000297837
GAS-lite,F,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.001079800000297837
GAS-lite,G,300,0.82,1.0,0.82,0.9010989010989011,0.001079800000297837
GAS-lite,H,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.001079800000297837
GAS-lite,I,300,0.82,1.0,0.82,0.9010989010989011,0.001079800000297837
Word2Vec-w+LR,ALL,3300,0.9363636363636364,0.9874213836477987,0.942,0.9641760491299898,0.0038434000016422942
Word2Vec-w+LR,Original,600,0.8916666666666667,0.8827361563517915,0.9033333333333333,0.8929159802306426,0.0038434000016422942
Word2Vec-w+LR,A,300,0.9266666666666666,1.0,0.9266666666666666,0.9619377162629758,0.0038434000016422942
Word2Vec-w+LR,B,300,1.0,1.0,1.0,1.0,0.0038434000016422942
Word2Vec-w+LR,C,300,0.9666666666666667,1.0,0.9666666666666667,0.9830508474576272,0.0038434000016422942
Word2Vec-w+LR,D,300,0.99,1.0,0.99,0.9949748743718593,0.0038434000016422942
Word2Vec-w+LR,E,300,0.9066666666666666,1.0,0.9066666666666666,0.951048951048951,0.0038434000016422942
Word2Vec-w+LR,F,300,0.9233333333333333,1.0,0.9233333333333333,0.9601386481802426,0.0038434000016422942
Word2Vec-w+LR,G,300,0.91,1.0,0.91,0.9528795811518325,0.0038434000016422942
Word2Vec-w+LR,H,300,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0.0038434000016422942
Word2Vec-w+LR,I,300,0.9766666666666667,1.0,0.9766666666666667,0.9881956155143339,0.0038434000016422942
Word2Vec-c+LR,ALL,3300,0.8327272727272728,0.9826498422712934,0.8306666666666667,0.9002890173410405,0.0051901000006182585
Word2Vec-c+LR,Original,600,0.8333333333333334,0.8472222222222222,0.8133333333333334,0.8299319727891157,0.0051901000006182585
Word2Vec-c+LR,A,300,0.8066666666666666,1.0,0.8066666666666666,0.8929889298892989,0.0051901000006182585
Word2Vec-c+LR,B,300,0.9666666666666667,1.0,0.9666666666666667,0.9830508474576272,0.0051901000006182585
Word2Vec-c+LR,C,300,0.8533333333333334,1.0,0.8533333333333334,0.920863309352518,0.0051901000006182585
Word2Vec-c+LR,D,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.0051901000006182585
Word2Vec-c+LR,E,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.0051901000006182585
Word2Vec-c+LR,F,300,0.8166666666666667,1.0,0.8166666666666667,0.8990825688073395,0.0051901000006182585
Word2Vec-c+LR,G,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.0051901000006182585
Word2Vec-c+LR,H,300,0.7966666666666666,1.0,0.7966666666666666,0.8868274582560297,0.0051901000006182585
Word2Vec-c+LR,I,300,0.8133333333333334,1.0,0.8133333333333334,0.8970588235294118,0.0051901000006182585
Word2Vec-c+GBDT,ALL,3300,0.9557575757575758,0.9763017356475301,0.975,0.975650433622415,0.01516039999842178
Word2Vec-c+GBDT,Original,600,0.8683333333333333,0.8044077134986226,0.9733333333333334,0.8808446455505279,0.01516039999842178
Word2Vec-c+GBDT,A,300,0.9766666666666667,1.0,0.9766666666666667,0.9881956155143339,0.01516039999842178
Word2Vec-c+GBDT,B,300,0.9866666666666667,1.0,0.9866666666666667,0.9932885906040269,0.01516039999842178
Word2Vec-c+GBDT,C,300,0.97,1.0,0.97,0.9847715736040609,0.01516039999842178
Word2Vec-c+GBDT,D,300,0.9733333333333334,1.0,0.9733333333333334,0.9864864864864865,0.01516039999842178
Word2Vec-c+GBDT,E,300,0.9733333333333334,1.0,0.9733333333333334,0.9864864864864865,0.01516039999842178
Word2Vec-c+GBDT,F,300,0.98,1.0,0.98,0.98989898989899,0.01516039999842178
Word2Vec-c+GBDT,G,300,0.9733333333333334,1.0,0.9733333333333334,0.9864864864864865,0.01516039999842178
Word2Vec-c+GBDT,H,300,0.97,1.0,0.97,0.9847715736040609,0.01516039999842178
Word2Vec-c+GBDT,I,300,0.9733333333333334,1.0,0.9733333333333334,0.9864864864864865,0.01516039999842178
Doc2Vec-c+GBDT,ALL,3300,0.7542424242424243,0.9383259911894273,0.781,0.852464980898672,0.03159869999944931
Doc2Vec-c+GBDT,Original,600,0.6316666666666667,0.6020671834625323,0.7766666666666666,0.6783114992721979,0.03159869999944931
Doc2Vec-c+GBDT,A,300,0.7666666666666667,1.0,0.7666666666666667,0.8679245283018868,0.03159869999944931
Doc2Vec-c+GBDT,B,300,0.9466666666666667,1.0,0.9466666666666667,0.9726027397260274,0.03159869999944931
Doc2Vec-c+GBDT,C,300,0.7933333333333333,1.0,0.7933333333333333,0.8847583643122676,0.03159869999944931
Doc2Vec-c+GBDT,D,300,0.7833333333333333,1.0,0.7833333333333333,0.8785046728971962,0.03159869999944931
Doc2Vec-c+GBDT,E,300,0.7766666666666666,1.0,0.7766666666666666,0.874296435272045,0.03159869999944931
Doc2Vec-c+GBDT,F,300,0.6566666666666666,1.0,0.6566666666666666,0.7927565392354124,0.03159869999944931
Doc2Vec-c+GBDT,G,300,0.7733333333333333,1.0,0.7733333333333333,0.8721804511278195,0.03159869999944931
Doc2Vec-c+GBDT,H,300,0.7566666666666667,1.0,0.7566666666666667,0.8614800759013282,0.03159869999944931
Doc2Vec-c+GBDT,I,300,0.78,1.0,0.78,0.8764044943820225,0.03159869999944931
