model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
GAS-lite,ALL,16102,0.9006955657682275,0.9678856791641057,0.9142898613832644,0.9403246874416868,0.0024573000009695534
GAS-lite,Original,3881,0.8376707034269518,0.7630385487528345,0.8639281129653402,0.8103552077062011,0.0024573000009695534
GAS-lite,A,3360,0.8648809523809524,0.7791640673736744,0.9258710155670867,0.8462059620596206,0.0024573000009695534
GAS-lite,B,3881,0.8626642617881989,0.7753895754970446,0.9261874197689345,0.844106463878327,0.0024573000009695534
GAS-lite,C,2075,0.8231325301204819,0.756043956043956,0.8259303721488596,0.789443488238669,0.0024573000009695534
GAS-lite,D,3881,0.8376707034269518,0.7630385487528345,0.8639281129653402,0.8103552077062011,0.0024573000009695534
GAS-lite,E,755,0.8490066225165563,0.7467362924281984,0.9438943894389439,0.8338192419825073,0.0024573000009695534
GAS-lite,F,3348,0.8784348864994026,0.7851491174680463,0.9598214285714286,0.8637428858386341,0.0024573000009695534
GAS-lite,G,2598,0.8733641262509623,0.784688995215311,0.9434324065196549,0.8567696996081846,0.0024573000009695534
GAS-lite,H,3311,0.8831168831168831,0.7878973105134475,0.9699021820917983,0.869477234401349,0.0024573000009695534
GAS-lite,I,3876,0.8379772961816305,0.7633371169125993,0.8643958868894601,0.8107293550331525,0.0024573000009695534
GAS-lite,J,3879,0.8378448053622067,0.7630385487528345,0.8644829800899165,0.8105992171032822,0.0024573000009695534
GAS-lite,K,3348,0.8829151732377539,0.784688995215311,0.9761904761904762,0.870026525198939,0.0024573000009695534
GAS-lite,L,3358,0.8802858844550328,0.7839135654261705,0.9688427299703264,0.8666224286662243,0.0024573000009695534
GAS-lite,M,3358,0.889815366289458,0.7900355871886121,0.9881305637982196,0.8780487804878049,0.0024573000009695534
Word2Vec-w+LR,ALL,16102,0.8683393367283567,0.9831744716121011,0.8608752449379491,0.9179693545890729,0.014474299998255447
Word2Vec-w+LR,Original,3881,0.91857768616336,0.8768203883495146,0.9274711168164314,0.9014348097317529,0.014474299998255447
