model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
GAS-lite,ALL,16102,0.9083964724878897,0.9762347112556123,0.9152333260759126,0.944750346480878,0.0030103999997663777
GAS-lite,Original,3881,0.8660139139397063,0.8141646489104116,0.8632862644415917,0.838006230529595,0.0030103999997663777
GAS-lite,A,3360,0.8979166666666667,0.8291884816753927,0.9392142327650111,0.8807785888077859,0.0030103999997663777
GAS-lite,B,3881,0.9000257665550115,0.827914798206278,0.94801026957638,0.883901855176541,0.0030103999997663777
GAS-lite,C,2075,0.8433734939759037,0.8052884615384616,0.8043217286914766,0.8048048048048048,0.0030103999997663777
GAS-lite,D,3881,0.8660139139397063,0.8141646489104116,0.8632862644415917,0.838006230529595,0.0030103999997663777
GAS-lite,E,755,0.8794701986754967,0.7912087912087912,0.9504950495049505,0.863568215892054,0.0030103999997663777
GAS-lite,F,3348,0.9050179211469535,0.8313953488372093,0.9575892857142857,0.8900414937759336,0.0030103999997663777
GAS-lite,G,2598,0.9037721324095458,0.8351648351648352,0.947267497603068,0.8876909254267745,0.0030103999997663777
GAS-lite,H,3311,0.907882814859559,0.8324675324675325,0.964635063957863,0.8936911815963751,0.0030103999997663777
GAS-lite,I,3876,0.8663570691434469,0.8141646489104116,0.8643958868894601,0.8385286783042394,0.0030103999997663777
GAS-lite,J,3879,0.8662026295436969,0.8141646489104116,0.8638407193320488,0.8382673730133998,0.0030103999997663777
GAS-lite,K,3348,0.9094982078853047,0.8330134357005758,0.96875,0.8957688338493293,0.0030103999997663777
GAS-lite,L,3358,0.9097677188802858,0.8334396936821953,0.9688427299703264,0.8960548885077187,0.0030103999997663777
GAS-lite,M,3358,0.9130434782608695,0.8346007604562737,0.9770029673590505,0.9002050580997949,0.0030103999997663777
Word2Vec-w+LR,ALL,16102,0.9493230654577072,0.9838745800671892,0.9564554757239278,0.9699712960918525,0.013648600001033628
Word2Vec-w+LR,Original,3881,0.9152280340118526,0.8699578567128236,0.9274711168164314,0.8977943460702081,0.013648600001033628
Word2Vec-w+LR,A,3360,0.9267857142857143,0.8728870858688302,0.9570051890289103,0.9130127298444131,0.013648600001033628
Word2Vec-w+LR,B,3881,0.9420252512239113,0.8776203966005666,0.9942233632862645,0.9322900993078543,0.013648600001033628
Word2Vec-w+LR,C,2075,0.9190361445783133,0.8698553948832035,0.9387755102040817,0.9030023094688222,0.013648600001033628
Word2Vec-w+LR,D,3881,0.9273383148673022,0.8735362997658079,0.9576379974326059,0.9136558481322719,0.013648600001033628
Word2Vec-w+LR,E,755,0.9218543046357616,0.8674698795180723,0.9504950495049505,0.9070866141732283,0.013648600001033628
Word2Vec-w+LR,F,3348,0.9247311827956989,0.8719346049046321,0.9523809523809523,0.9103840682788051,0.013648600001033628
Word2Vec-w+LR,G,2598,0.9226327944572749,0.8738898756660746,0.9434324065196549,0.9073305670816044,0.013648600001033628
Word2Vec-w+LR,H,3311,0.9181516158260344,0.869413407821229,0.9367945823927766,0.9018471568272365,0.013648600001033628
Word2Vec-w+LR,I,3876,0.9236326109391125,0.8723404255319149,0.9485861182519281,0.9088669950738916,0.013648600001033628
Word2Vec-w+LR,J,3879,0.9234338747099768,0.8723404255319149,0.9479768786127167,0.9085872576177285,0.013648600001033628
Word2Vec-w+LR,K,3348,0.9265232974910395,0.876027397260274,0.9516369047619048,0.9122681883024251,0.013648600001033628
Word2Vec-w+LR,L,3358,0.930911256700417,0.8775372124492558,0.962166172106825,0.9179051663128096,0.013648600001033628
Word2Vec-w+LR,M,3358,0.9437164979154259,0.8775244299674267,0.9992581602373887,0.9344432882414152,0.013648600001033628
Word2Vec-c+LR,ALL,16102,0.9042976027822631,0.9825709779179811,0.904202046592641,0.9417589478060395,0.01781470000059926
Word2Vec-c+LR,Original,3881,0.8832775057974749,0.8571428571428571,0.8510911424903723,0.8541062801932368,0.01781470000059926
Word2Vec-c+LR,A,3360,0.9151785714285714,0.8663911845730028,0.9325426241660489,0.8982506247768655,0.01781470000059926
Word2Vec-c+LR,B,3881,0.9394485957227519,0.8747875354107649,0.9910141206675225,0.9292807703882034,0.01781470000059926
Word2Vec-c+LR,C,2075,0.8626506024096385,0.8486005089058524,0.8007202881152461,0.823965410747375,0.01781470000059926
Word2Vec-c+LR,D,3881,0.8832775057974749,0.8571428571428571,0.8510911424903723,0.8541062801932368,0.01781470000059926
Word2Vec-c+LR,E,755,0.8966887417218543,0.8526645768025078,0.8976897689768977,0.8745980707395499,0.01781470000059926
Word2Vec-c+LR,F,3348,0.9205495818399044,0.8676671214188267,0.9464285714285714,0.9053380782918149,0.01781470000059926
Word2Vec-c+LR,G,2598,0.9172440338722094,0.8716337522441652,0.9309683604985618,0.9003245248029671,0.01781470000059926
Word2Vec-c+LR,H,3311,0.9211718514044095,0.8687845303867403,0.9465763732129421,0.9060136838314728,0.01781470000059926
